DSUK_ID,Treatment,Continent,Country,Location
DSUK050,N,UK,Northern Ireland,Omagh
DSUK051,N,UK,Northern Ireland,Omagh
DSUK054,N,UK,Northern Ireland,Omagh
DSUK070,N,UK,GB,Newcastle
DSUK074,N,UK,GB,Newcastle
DSUK075,N,UK,GB,Newcastle
DSUK079,N,UK,GB,Newcastle
DSUK109,N,UK,GB,Newcastle
DSUK110,N,UK,GB,Newcastle
DSUK144,N,Greece,Greece,Thessaloniki
DSUK146,N,Greece,Greece,Thessaloniki
DSUK147,N,Greece,Greece,Thessaloniki
DSUK149,N,Greece,Greece,Thessaloniki
DSUK150,N,Greece,Greece,Thessaloniki
DSUK155,N,Greece,Greece,Athens
DSUK159,N,Greece,Greece,Thessaloniki
DSUK168,N,UK,GB,Oxford
DSUK169,N,UK,GB,Oakham
DSUK179a,N,UK,GB,London
REANEG,N,Control,Control,Control
